,Filepath,Label
0,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2801.png,Moderate
1,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1341.png,Severe
2,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2278.png,Moderate
3,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1655.png,Proliferate_DR
4,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\f451eee2b66b.png,No_DR
5,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2863.png,Mild
6,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1294.png,Proliferate_DR
7,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1812.png,Moderate
8,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2670.png,Proliferate_DR
9,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2995.png,Moderate
10,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1308.png,Severe
11,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\b5a3ca5c0a80.png,No_DR
12,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2741.png,Severe
13,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2708.png,Severe
14,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2494.png,Proliferate_DR
15,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\d2dc86021c67.png,No_DR
16,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild610.png,Mild
17,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2775.png,Mild
18,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2637.png,Severe
19,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2142.png,Severe
20,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1524.png,Mild
21,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild316.png,Mild
22,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr850.png,Proliferate_DR
23,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2650.png,Moderate
24,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2130.png,Mild
25,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1460.png,Proliferate_DR
26,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\838b3e4d0bb4.png,No_DR
27,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1418.png,Mild
28,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr931.png,Proliferate_DR
29,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\b8e20c076b03.png,No_DR
30,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\7ddcfcea7369.png,No_DR
31,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2732.png,Severe
32,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1110.png,Severe
33,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate362.png,Moderate
34,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\1e742358e0b9.png,No_DR
35,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1218.png,Severe
36,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe591.png,Severe
37,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2114.png,Mild
